id_ibge,location,year,wage,num_emp,num_jobs,num_est,wage_avg,age_avg,wage_growth,wage_growth_5,num_emp_growth,num_emp_growth_5,bra_id,cnae_id,rca,distance,opp_gain,cnae_1,cnae_3,cnae_6,cbo_diversity,cbo_diversity_eff,num_jobs_est,cnae_display,bra_rca,wld_rca
3106200,"Belo Horizonte",2014,22610.76,6,6,2,3768.46,45.667,-0.973,-0.098,-0.951,-0.097,"4mg030000","b08916",0.044,0.81,-0.118,"b","b08","b08916",162,51.006,3,"08916",false,false
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","b08924",,0.775,-0.008,"b","b08","b08924",185,40.638,0,"08924",false,false
3106200,"Belo Horizonte",2014,9879.34,6,6,2,1646.56,38.5,0.115,0.045,-0.4,0.037,"4mg030000","b08932",0.057,0.764,0.082,"b","b08","b08932",136,53.402,3,"08932",false,false
3106200,"Belo Horizonte",2014,99478.41,38,38,5,2617.85,38.632,-0.707,-0.085,-0.809,-0.12,"4mg030000","b08991",0.104,0.795,-0.075,"b","b08","b08991",289,62.167,8,"08991",false,false
3106200,"Belo Horizonte",2014,17272.87,5,5,1,3454.57,38.6,-0.695,-0.416,-0.643,-0.372,"4mg030000","b09106",0.002,0.763,0.017,"b","b09","b09106",257,62.581,5,"09106",false,false
3106200,"Belo Horizonte",2014,1428791.18,156,157,10,9100.58,41.236,13.413,-0.093,2.628,-0.098,"4mg030000","b09904",2.782,0.751,-0.027,"b","b09","b09904",204,57.232,16,"09904",true,false
3106200,"Belo Horizonte",2014,869452.88,631,631,9,1377.9,34.529,1.03,0.008,0.137,-0.012,"4mg030000","c10112",0.13,0.805,-0.194,"c","c10","c10112",342,14.945,71,"10112",false,false
3106200,"Belo Horizonte",2014,126261.74,99,99,1,1275.37,37.03,-0.65,0.036,0.088,0.013,"4mg030000","c10121",0.01,0.824,-0.194,"c","c10","c10121",345,9.604,99,"10121",false,false
3106200,"Belo Horizonte",2014,554057.43,469,469,19,1181.36,34.591,0.948,0.009,0.181,0.007,"4mg030000","c10139",0.185,0.822,-0.128,"c","c10","c10139",327,26.067,25,"10139",false,false
3106200,"Belo Horizonte",2014,5922.84,3,3,1,1974.28,42.667,-0.693,0.02,-0.897,0,"4mg030000","c10201",0.008,0.795,-0.092,"c","c10","c10201",237,17.998,3,"10201",false,false
3106200,"Belo Horizonte",2014,96926.03,83,83,6,1167.78,38.88,1.247,-0.037,0.407,-0.044,"4mg030000","c10317",0.125,0.806,-0.152,"c","c10","c10317",256,38.336,14,"10317",false,false
3106200,"Belo Horizonte",2014,56321.37,41,41,5,1373.69,33.366,5.059,0.074,2.727,0.032,"4mg030000","c10325",0.107,0.822,-0.108,"c","c10","c10325",222,23.506,9,"10325",false,false
3106200,"Belo Horizonte",2014,20853.24,21,24,3,868.89,32.167,-0.641,-0.09,-0.543,-0.056,"4mg030000","c10333",0.016,0.815,-0.111,"c","c10","c10333",289,49.006,8,"10333",false,false
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","c10414",,0.817,-0.162,"c","c10","c10414",263,51.201,0,"10414",false,false
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","c10422",,0.789,0.009,"c","c10","c10422",194,48.59,0,"10422",false,false
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","c10431",,0.805,-0.013,"c","c10","c10431",162,48.406,0,"10431",false,false
3106200,"Belo Horizonte",2014,14792.18,3,3,1,4930.73,40.333,-0.048,0.014,-0.769,-0.056,"4mg030000","c10511",0.022,0.807,-0.192,"c","c10","c10511",216,36.875,3,"10511",false,false
3106200,"Belo Horizonte",2014,2939749.9,462,462,11,6363.1,36.911,1.023,0.025,0.269,0.011,"4mg030000","c10520",0.495,0.805,-0.153,"c","c10","c10520",345,35.116,42,"10520",false,false
